instancia,ordenes,pasillos,usados,obj,expected,error,tiempo,it
instance_0001,11321,185,2,631.5,631.5,0.0,8.0,5
instance_0002,2162,165,11,180.63636363636363,180.64,0.003636363636360329,25.0,4
instance_0003,2070,164,5,149.6,149.6,0.0,54.0,5
instance_0004,2448,163,17,155.88235294117646,155.67,0.2123529411764764,596.0,7
instance_0005,6468,179,3,368.0,368.0,0.0,5.0,4
instance_0006,1857,165,37,83.97297297297297,83.97,0.002972972972969501,596.0,6
instance_0007,1841,165,1,108.0,108.0,0.0,1.0,5
instance_0008,12334,398,10,227.1,227.1,0.0,104.0,5
instance_0009,5581,417,14,82.5,82.5,0.0,21.0,5
instance_0010,14952,482,3,444.0,444.0,0.0,39.0,4
instance_0011,45112,482,10,895.1,898.8,3.699999999999932,597.0,8
instance_0012,28263,483,11,567.3636363636364,567.64,0.2763636363636124,597.0,4
instance_0013,38214,483,9,752.6666666666666,756.78,4.113333333333344,598.0,4
instance_0014,38202,483,6,885.1666666666666,885.17,0.0033333333333303017,597.0,7
instance_0015,11541,398,14,166.14285714285714,166.14,0.0028571428571524393,230.0,8
Tiempo total,0,0,0,,,,67.8,0
45112,482,10,883.2,3,0
