ordenes,pasillos,items,factibilidad,obj,tiempo,it
70,304,222,true,4.416666666666667,1,18
5,5,5,true,5.0,1,14
2682,90,2309,true,117.2,60,21
2257,134,2104,true,202.0,5,20
417,83,411,true,36.5,1,18
82,124,246,true,12.0,1,17
7,33,7,true,2.0,1,11
1108,88,1051,true,85.0,3,20
12402,413,10974,true,181.63636363636363,417,23
7367,402,6633,true,149.33333333333334,41,22
61,116,155,true,15.0,1,17
16,91,59,true,3.5,1,16
133,342,337,true,11.25,2,18
10341,184,7089,true,691.0,56,22
8320,180,5747,true,392.25,166,22
8375,413,7525,true,117.38461538461539,179,23

