ordenes,pasillos,items,factibilidad,obj,tiempo,it
70,304,222,true,4.416666666666667,1,5
2185,168,5831,true,162.94117647058823,97,3
5,5,5,true,5.0,1,3
2682,90,2309,true,117.2,6,4
2257,134,2104,true,202.0,2,2
417,83,411,true,36.5,1,4
82,124,246,true,12.0,1,4
7,33,7,true,2.0,1,3
1108,88,1051,true,85.0,1,3
12402,413,10974,true,181.63636363636363,160,5
7367,402,6633,true,149.33333333333334,31,4
61,116,155,true,15.0,1,4
2625,161,6407,true,177.875,80,3
1029,375,2784,true,16.85,235,6
1602,383,3689,true,16.693181818181817,243,5
16,91,59,true,3.5,1,5
133,342,337,true,11.25,1,5
10341,184,7089,true,691.0,65,5
8320,180,5747,true,392.25,42,5
8375,413,7525,true,117.38461538461539,57,5
