instancia,ordenes,pasillos,usados,obj,expected,error,tiempo,it
instance_0001,11321,185,2,631.5,631.5,0.0,2.0,3
instance_0002,2162,165,11,180.63636363636363,180.64,0.003636363636360329,24.0,4
instance_0003,2070,164,5,149.6,149.6,0.0,37.0,4
instance_0004,2448,163,17,155.94117647058823,155.67,0.27117647058824446,596.0,6
instance_0005,6468,179,3,368.0,368.0,0.0,2.0,3
instance_0006,1857,165,35,83.97142857142858,83.97,0.0014285714285762197,597.0,6
instance_0007,1841,165,1,108.0,108.0,0.0,1.0,4
instance_0008,12334,398,10,227.1,227.1,0.0,46.0,7
instance_0009,5581,417,14,82.5,82.5,0.0,8.0,4
instance_0010,14952,482,3,444.0,444.0,0.0,19.0,3
instance_0011,45112,482,10,896.7,898.8,2.099999999999909,596.0,4
instance_0012,28263,483,11,566.1818181818181,567.64,1.4581818181818562,596.0,6
instance_0013,38214,483,9,757.0,756.78,0.22000000000002728,596.0,8
instance_0014,38202,483,6,876.3333333333334,885.17,8.836666666666588,596.0,6
instance_0015,11541,398,14,166.14285714285714,166.14,0.0028571428571524393,599.0,4
Tiempo total,0,0,0,,,,71.91666666666667,0
