ordenes,pasillos,usados,obj,tiempo,it
70,304,12,4.416666666666667,1,7
70,304,12,4.416666666666667,1,7
2185,168,17,162.94117647058823,254,6
5,5,2,5.0,1,4
2682,90,5,117.2,4,4
2257,134,1,202.0,1,3
417,83,2,36.5,1,3
82,124,4,12.0,1,5
7,33,1,2.0,1,3
1108,88,2,85.0,1,3
12402,413,11,181.63636363636363,53,4
7367,402,3,149.33333333333334,3,4
61,116,2,15.0,1,3
2625,161,8,177.875,219,6
1029,375,20,16.85,455,10
1602,383,102,17.107843137254903,596,7
16,91,2,3.5,1,6
133,342,4,11.25,1,5
10341,184,1,691.0,2,4
8320,180,4,392.25,10,5
8375,413,13,117.38461538461539,16,5
