ordenes,pasillos,usados,obj,tiempo,it
70,304,12,4.416666666666667,1,4
2185,168,17,162.94117647058823,88,3
5,5,2,5.0,1,2
2682,90,5,117.2,1,2
2257,134,1,202.0,1,1
417,83,2,36.5,1,1
82,124,4,12.0,1,3
7,33,1,2.0,1,1
1108,88,2,85.0,1,1
12402,413,11,181.63636363636363,11,2
7367,402,3,149.33333333333334,2,2
61,116,2,15.0,1,1
2625,161,8,177.875,33,2
1029,375,20,16.75,302,6
1602,383,105,16.571428571428573,121,2
16,91,2,3.5,1,4
133,342,4,11.25,1,3
10341,184,1,691.0,1,3
8320,180,4,392.25,3,3
8375,413,13,117.38461538461539,6,3
